"mechanism","FC.199A1in2_concatenated","FC.113A1in2_concatenated","FC.186A1in2_concatenated","FC.143A_concatenated","FC.172A1in2_concatenated","FC.177A1in2_concatenated","FC.112A1in2_concatenated","FC.161A1in2_concatenated","FC.162A_concatenated","FC.122A1in2_concatenated","FC.195A1in2_concatenated","FC.195A_concatenated","FC.134A_concatenated","FC.181A1in2_concatenated","FC.123A_concatenated","FC.133A_concatenated","FC.134A1in2_concatenated","FC.172A_concatenated","FC.181A_concatenated","FC.186A_concatenated","FC.123A1in2_concatenated","FC.162A1in2_concatenated","FC.142A1in2_concatenated","FC.143A1in2_concatenated","FC.161A_concatenated","FC.113A_concatenated","FC.177A_concatenated","FC.122A_concatenated","FC.133A1in2_concatenated","FC.199A_concatenated","FC.142A_concatenated","FC.112A_concatenated"
"Aminoglycoside efflux pumps",49.1803278688526,0,13.8888888888889,0,26.3157894736842,3599.19028340081,93.7500000000001,0,22.7272727272728,0,31.2500000000001,55.5555555555557,0,0,0,0,32.2580645161292,96.7741935483875,30.3030303030304,0,30.7692307692308,54.5454545454547,0,0,13.5135135135135,0,5243.82716049383,14.2857142857143,22.7272727272728,37.3134328358209,40.0000000000001,120
"Lipid A modification",0,0,0,0,0,433.198380566802,0,0,0,0,46.8750000000001,0,0,0,0,0,0,64.5161290322583,0,0,0,0,0,0,13.5135135135135,0,503.086419753086,0,0,0,0,0
"Aminoglycoside efflux regulator",0,0,0,0,0,194.331983805668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.296296296296,0,0,0,0,0
"Cationic antimicrobial peptide efflux pumps",49.1803278688526,51.2820512820514,1402.77777777778,0,315.789473684211,0,0,0,79.5454545454546,35.0877192982457,31.2500000000001,138.888888888889,0,0,0,0,0,0,0,2811.76470588236,0,54.5454545454547,0,0,0,71.4285714285715,0,71.4285714285715,0,89.5522388059702,0,0
"Streptogramin A O-acetyltransferase",32.7868852459017,0,402.777777777778,0,0,0,0,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,1082.35294117647,0,0,0,0,0,0,6.17283950617284,0,0,0,0,0
"Aminoglycoside O-nucleotidyltransferases",196.72131147541,307.692307692309,208.333333333334,232.142857142858,315.789473684211,40.4858299595142,781.250000000001,172.413793103449,227.272727272728,87.7192982456142,234.375,305.555555555557,371.428571428573,404.761904761906,692.307692307695,200.000000000001,387.09677419355,129.032258064517,606.060606060608,247.058823529412,1030.76923076923,127.272727272728,60.6060606060608,175.000000000001,324.324324324325,428.571428571429,80.2469135802469,542.857142857144,613.636363636364,373.134328358209,380.000000000001,240.000000000001
"Macrolide esterases",0,0,0,0,0,0,0,0,68.1818181818183,52.6315789473685,0,0,28.5714285714287,23.8095238095239,0,0,0,0,30.3030303030304,0,92.3076923076925,0,0,0,94.5945945945947,0,6.17283950617284,14.2857142857143,0,14.9253731343284,0,0
"23S rRNA methyltransferases",0,0,0,0,0,0,41.6666666666667,0,22.7272727272728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3636363636364,0,0,40.0000000000001
"Aminoglycoside-resistant 16S-23S rRNA O-methyltransferases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.2580645161292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EF-Tu inhibition",16.3934426229509,0,0,0,13.1578947368421,20.2429149797571,0,17.2413793103449,22.7272727272728,0,0,27.7777777777779,0,0,38.4615384615386,0,0,32.2580645161292,30.3030303030304,23.5294117647059,0,18.1818181818182,0,0,0,10.2040816326531,21.6049382716049,14.2857142857143,0,29.8507462686567,0,0
"fosfomycin target mutation",0,0,0,0,0,4.04858299595142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"nfsA mutation",0,0,0,0,0,48.582995951417,20.8333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.8641975308642,0,0,14.9253731343284,0,0
"Fosfomycin thiol transferases",0,0,0,0,0,8.09716599190284,0,0,0,35.0877192982457,0,0,0,0,0,0,0,0,0,0,46.1538461538462,36.3636363636364,0,0,0,0,0,0,0,0,0,0
"Aminocoumarin-resistant DNA topoisomerases",0,0,0,0,0,0,0,0,11.3636363636364,0,0,0,0,0,0,0,0,32.2580645161292,0,0,0,18.1818181818182,0,0,0,0,0,0,0,7.46268656716418,0,0
"23S rRNA target mutation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46268656716418,0,0
"Class D betalactamases",0,0,0,0,39.4736842105264,0,0,0,0,0,15.625,27.7777777777779,0,0,0,0,0,0,0,0,0,36.3636363636364,0,0,0,0,0,57.1428571428572,0,22.3880597014926,80.0000000000002,0
"Quinolone resistance protein Qnr",0,0,0,0,0,4.04858299595142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3456790123457,0,0,0,0,0
"Class B betalactamases",0,0,0,0,0,0,0,0,11.3636363636364,0,0,27.7777777777779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.8571428571429,0,14.9253731343284,0,0
"Chloramphenicol acetyltransferases",0,0,0,0,0,8.09716599190284,0,34.4827586206897,0,0,62.5000000000001,0,28.5714285714287,0,0,80.0000000000004,0,0,0,11.764705882353,123.076923076923,0,0,0,0,61.2244897959184,0,28.5714285714286,0,7.46268656716418,40.0000000000001,0
"Triclosan efflux pump",0,0,0,0,13.1578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phenicol efflux pumps",0,0,0,0,0,0,406.25,0,0,0,0,0,85.714285714286,119.047619047619,0,0,161.290322580646,0,0,0,0,0,0,0,27.0270270270271,0,0,0,45.4545454545455,0,0,40.0000000000001
"Dihydrofolate reductase",32.7868852459017,51.2820512820514,0,71.4285714285716,13.1578947368421,8.09716599190284,62.5000000000001,0,0,35.0877192982457,0,0,57.1428571428573,95.2380952380955,76.9230769230773,80.0000000000004,0,0,60.6060606060608,23.5294117647059,92.3076923076925,0,60.6060606060608,50.0000000000002,108.108108108108,20.4081632653061,6.17283950617284,0,45.4545454545455,0,0,40.0000000000001
"Lincosamide efflux pump",98.3606557377051,282.051282051283,152.777777777778,0,210.526315789474,0,0,155.172413793104,102.272727272727,157.894736842106,0,250.000000000001,0,0,0,0,0,1322.5806451613,212.121212121213,129.411764705883,0,181.818181818182,0,0,40.5405405405406,40.8163265306123,0,28.5714285714286,0,7.46268656716418,40.0000000000001,0
"Streptogramin resistance ATP-binding cassette ABC efflux pumps",0,0,0,0,0,40.4858299595142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.1234567901235,0,0,0,0,0
"Macrolide resistance efflux pumps",0,76.9230769230772,55.5555555555556,0,0,16.1943319838057,145.833333333334,0,22.7272727272728,0,0,0,171.428571428572,23.8095238095239,0,0,0,0,0,47.0588235294118,0,0,0,0,0,20.4081632653061,18.5185185185185,28.5714285714286,0,14.9253731343284,0,80.0000000000002
"Macrolide phosphotransferases",0,51.2820512820514,0,0,0,0,52.0833333333334,0,0,0,0,0,0,0,0,0,64.5161290322583,0,0,0,0,0,0,0,0,0,0,0,22.7272727272728,0,0,0
"Quinolone active efflux",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.25925925925926,0,0,0,0,0
"Rifampin-resistant beta-subunit of RNA polymerase RpoB",0,0,0,0,13.1578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4081632653061,0,0,0,0,20,40.0000000000001
"Sulfonamide-resistant dihydropteroate synthases",0,128.205128205129,27.7777777777778,107.142857142857,0,28.3400809716599,281.25,206.896551724138,125,122.80701754386,171.875,0,85.714285714286,166.666666666667,192.307692307693,0,290.322580645162,0,363.636363636365,47.0588235294118,476.923076923078,54.5454545454547,181.818181818182,175.000000000001,364.864864864865,20.4081632653061,80.2469135802469,285.714285714286,68.1818181818183,29.8507462686567,80.0000000000002,20
"Tetracycline resistance ribosomal protection proteins",14819.6721311476,56230.7692307694,48486.1111111112,9446.42857142859,244263.157894737,44.5344129554656,2135.41666666667,286293.103448276,22704.5454545455,217526.315789474,9468.75000000002,3777.77777777779,25342.8571428572,1333.33333333334,153.846153846155,23080.0000000001,34677.4193548388,54483.8709677421,4515.15151515153,72411.7647058825,92.3076923076925,24490.9090909091,39242.4242424244,9825.00000000003,420648.648648649,67918.3673469389,64.8148148148148,268328.571428572,73454.5454545455,14186.5671641791,102760,440.000000000001
"Tetracycline transcriptional repressor",0,0,0,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABC transporter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.764705882353,0,0,0,0,0,0,0,0,0,0,0,0
